"industry_category_key","industry_category_label","date_last_modified","language","language_code"
"agriculture","Agriculture and livestock","2021-03-09T17:46:00.000Z","English","en"
"amusement-theme-parks","Amusement parks and theme parks","2021-03-09T17:46:00.000Z","English","en"
"auto-dealerships","Auto dealerships","2021-03-09T17:46:00.000Z","English","en"
"bars","Bars, breweries, and distilleries","2021-03-09T17:46:00.000Z","English","en"
"campgrounds-outdoor-recreation","Campgrounds","2021-03-09T17:46:00.000Z","English","en"
"cardrooms-racetracks","Cardrooms and racetracks","2021-03-09T17:46:00.000Z","English","en"
"childcare","Childcare","2021-03-09T17:46:00.000Z","English","en"
"cohorts","Cohorts for children and youth in supervised settings","2021-03-09T17:46:00.000Z","English","en"
"communications","Communications infrastructure","2021-03-09T17:46:00.000Z","English","en"
"construction","Construction","2021-03-09T17:46:00.000Z","English","en"
"day-camps","Day camps","2021-03-09T17:46:00.000Z","English","en"
"delivery-services","Delivery services","2021-03-09T17:46:00.000Z","English","en"
"energy","Energy and utilities","2021-03-09T17:46:00.000Z","English","en"
"expanded-personal-care-services","Expanded Personal Care Services","2021-03-09T17:46:00.000Z","English","en"
"family-entertainment","Family entertainment centers","2021-03-09T17:46:00.000Z","English","en"
"fitness","Gyms and fitness centers","2021-03-09T17:46:00.000Z","English","en"
"food-packing","Food packing","2021-03-09T17:46:00.000Z","English","en"
"hair-salons","Hair salons and barbershops","2021-03-09T17:46:00.000Z","English","en"
"higher-education","Higher education","2021-03-09T17:46:00.000Z","English","en"
"hotels-lodging-rentals","Hotels, lodging, and short-term lodging rentals","2021-03-09T17:46:00.000Z","English","en"
"libraries","Retail","2021-03-09T17:46:00.000Z","English","en"
"life-sciences","Life sciences","2021-03-09T17:46:00.000Z","English","en"
"limited-services","Limited services","2021-03-09T17:46:00.000Z","English","en"
"logistics-warehousing","Logistics and warehousing facilities","2021-03-09T17:46:00.000Z","English","en"
"manufacturing","Manufacturing","2021-03-09T17:46:00.000Z","English","en"
"mining-logging","Mining and logging","2021-03-09T17:46:00.000Z","English","en"
"movie-theaters","Movie theaters and family entertainment centers","2021-03-09T17:46:00.000Z","English","en"
"music-tv-film","Music, film, and TV production","2021-03-09T17:46:00.000Z","English","en"
"office-workspaces","Office workspaces","2021-03-09T17:46:00.000Z","English","en"
"outdoor-cardrooms","Outdoor cardrooms","2021-03-09T17:46:00.000Z","English","en"
"outdoor-live-professional-sports","Outdoor live professional sports","2021-03-09T17:46:00.000Z","English","en"
"places-of-worship","Places of worship and cultural ceremonies","2021-03-09T17:46:00.000Z","English","en"
"ports","Ports","2021-03-09T17:46:00.000Z","English","en"
"professional-sports","Professional sports","2021-03-09T17:46:00.000Z","English","en"
"real-estate","Real estate transactions","2021-03-09T17:46:00.000Z","English","en"
"restaurants-bars-wineries","Restaurants, wineries, and bars","2021-03-09T17:46:00.000Z","English","en"
"retail","Retail","2021-03-09T17:46:00.000Z","English","en"
"schools","Schools","2021-03-09T17:46:00.000Z","English","en"
"shopping-centers","Shopping centers","2021-03-09T17:46:00.000Z","English","en"
"transit-rail","Public transit and intercity passenger rail","2021-03-09T17:46:00.000Z","English","en"
"wineries","Wineries and tasting rooms","2021-03-09T17:46:00.000Z","English","en"
"youth-sports","Youth and adult recreational sports","2021-03-09T17:46:00.000Z","English","en"
"zoos-museums","Museums, zoos, and aquariums","2021-03-09T17:46:00.000Z","English","en"
"swimming-pools","Swimming pools","2021-03-09T17:46:00.000Z","English","en"
"general-indoors","Ventilation","2021-03-09T17:46:00.000Z","English","en"
"general-outdoors","Temporary outdoor structures","2021-03-09T17:46:00.000Z","English","en"
"live-performances","Live performances","2021-03-09T17:52:00.000Z","English","en"
