"id","language","code","key","alternative_codes"
"Arabic","Arabic","ar","Arabic | er",""
"Armenian","Armenian","hy","Armenian | hy",""
"Khmer","Khmer","km","Khmer | km","Cambodian | km"
"Chinese Simplified","Chinese Simplified","zh-hant","Chinese | zh-hant",""
"Chinese Traditional","Chinese Traditional","zh-hans","Chinese | zh-hans",""
"Hmong","Hmong","hmn","Hmong | hmn",""
"Korean","Korean","ko","Korean | ko",""
"Punjabi","Punjabi","pa","Punjabi | pa",""
"Russian","Russian","ru","Russian | ru",""
"Spanish","Spanish","es","Spanish | es",""
"Tagalog","Tagalog","tl","Tagalog | tl",""
"Thai","Thai","th","Thai | th",""
"Vietnamese","Vietnamese","vi","Vietnamese | vi",""
"English","English","en","English | en",""
