"activity_reference_key","activity_search_autocomplete","override_industry_guidance_label","activity_key","4 - WIDESPREAD","3 - SUBSTANTIAL","2 - MODERATE","1 - MINIMAL","RSHO","last_modified","primary_guidance","secondary_guidance"
"agriculture","Agriculture and livestock","","agriculture","","","","","","2021-01-15T19:44:00.000Z","agriculture",""
"amusement-theme-parks","Amusement parks and theme parks","","amusement-theme-parks","","","","","","2021-01-15T19:44:00.000Z","amusement-theme-parks",""
"appliance-repair-shops","Appliance repair shops","","appliance-repair-shops","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","2021-01-15T09:40:00.000Z","limited-services",""
"aquariums","Aquariums","","aquariums","Can open outdoors only with modifications","Can open indoors with modifications - Indoor activities max 25% capacity","Can open indoors with modifications - Indoor activities max 50% capacity","Can open indoors with modifications","Closed","2021-01-15T09:40:00.000Z","zoos-museums",""
"auto-dealerships","Auto dealerships","","auto-dealerships","","","","","","2021-01-15T09:40:00.000Z","auto-dealerships",""
"auto-repair-shops","Auto repair shops","","auto-repair-shops","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","2021-01-15T09:40:00.000Z","limited-services",""
"banks-credit-unions","Banks and credit unions","Banks and credit unions","banks-credit-unions","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","2021-01-15T09:40:00.000Z","critical-infrastructure",""
"bars","Bars, breweries, and distilleries","","bars","","","","","","2021-01-15T09:40:00.000Z","bars",""
"bars-no-meals-provided","Bars (where no meals provided)","","bars-no-meals-provided","Closed","Closed","Can open outdoors only with modifications","Can open indoors with modifications  - Max 50% capacity","Closed for on-site consumption.","2021-01-15T09:40:00.000Z","bars",""
"body-waxing-studios","Body waxing studios","Personal care services","body-waxing-studios","Can open indoors with modifications","Can open indoors with modifications","Can open indoors with modifications","Can open indoors with modifications","Closed","2021-01-15T09:40:00.000Z","expanded-personal-care-services",""
"bookstores","Bookstores","Retailers","bookstores","Can open with modifications  - Max 25% capacity","Can open with modifications  - Max 50% capacity","Can open with modifications","Can open with modifications","Can open with modifications  - Max 20% capacity - No food or beverages sold for onsite consumption","2021-01-15T09:40:00.000Z","retail",""
"bowling-alleys","Bowling alleys","","bowling-alleys","Closed","Closed","Can open indoors for naturally distanced activities, with modifications - Max 25% capacity","Can open indoors for activities with increased risk of proximity and mixing, with modifications - Max 50% capacity","Closed","2021-01-15T09:40:00.000Z","family-entertainment",""
"breweries-no-meals-provided","Breweries (where no meals provided)","","breweries-no-meals-provided","Closed","Closed","Can open outdoors only with modifications","Can open indoors with modifications  - Max 50% capacity","Closed for on-site consumption. May continue with production, manufacturing, distribution, and retail sale for off-site consumption.","2021-01-15T23:52:00.000Z","bars",""
