"activity_reference_key","activity_search_autocomplete","override_industry_guidance_label","activity_key","4 - WIDESPREAD","3 - SUBSTANTIAL","2 - MODERATE","1 - MINIMAL","RSHO","last_modified","primary_guidance","secondary_guidance","related_guidance","language_code","language"
"banks-credit-unions","البنوك والاتحادات الائتمانية","","banks-credit-unions","يمكن الافتتاح مع إجراء تعديلات","يمكن الافتتاح مع إجراء تعديلات","يمكن الافتتاح مع إجراء تعديلات","يمكن الافتتاح مع إجراء تعديلات","","2021-02-20T03:18:00.000Z","","","","ar","Arabic"
"banks-credit-unions","Bancos y uniones de crédito","","banks-credit-unions","Pueden abrir con modificaciones.","Pueden abrir con modificaciones.","Pueden abrir con modificaciones.","Pueden abrir con modificaciones.","","2021-02-20T03:19:00.000Z","","","","es","Spanish"
"banks-credit-unions","은행 및 신용조합","","banks-credit-unions","변경 조치 이행 후 운영 개시 가능","변경 조치 이행 후 운영 개시 가능","변경 조치 이행 후 운영 개시 가능","변경 조치 이행 후 운영 개시 가능","","2021-02-20T03:19:00.000Z","","","","ko","Korean"
"banks-credit-unions","Mga bangko at credit union","","banks-credit-unions","Puwedeng magbukas nang may mga modipikasyon","Puwedeng magbukas nang may mga modipikasyon","Puwedeng magbukas nang may mga modipikasyon","Puwedeng magbukas nang may mga modipikasyon","","2021-02-20T03:19:00.000Z","","","","tl","Tagalog"
"banks-credit-unions","Ngân hàng và tổ chức tín dụng","","banks-credit-unions","Có thể mở cửa với điều chỉnh sửa đổi","Có thể mở cửa với điều chỉnh sửa đổi","Có thể mở cửa với điều chỉnh sửa đổi","Có thể mở cửa với điều chỉnh sửa đổi","","2021-02-20T03:19:00.000Z","","","","vi","Vietnamese"
"banks-credit-unions","银行和信用合作社","","banks-credit-unions","在有调整方案的情况下可以开放","在有调整方案的情况下可以开放","在有调整方案的情况下可以开放","在有调整方案的情况下可以开放","","2021-02-20T03:19:00.000Z","","","","zh-hant","Chinese Simplified"
"banks-credit-unions","银行和信用合作社","","banks-credit-unions","在有调整方案的情况下可以开放","在有调整方案的情况下可以开放","在有调整方案的情况下可以开放","在有调整方案的情况下可以开放","","2021-02-20T03:19:00.000Z","","","","zh-hans","Chinese Traditional"
"campgrounds-outdoor-recreation","أراضي التخييم وأماكن الترفيه المفتوحة","","campgrounds-outdoor-recreation","يمكن الافتتاح مع إجراء تعديلات","يمكن الافتتاح مع إجراء تعديلات","يمكن الافتتاح مع إجراء تعديلات","يمكن الافتتاح مع إجراء تعديلات","","2021-02-20T03:19:00.000Z","","","","ar","Arabic"
"campgrounds-outdoor-recreation","حدائق التزلج","","campgrounds-outdoor-recreation","يمكن الافتتاح مع إجراء تعديلات","يمكن الافتتاح مع إجراء تعديلات","يمكن الافتتاح مع إجراء تعديلات","يمكن الافتتاح مع إجراء تعديلات","","2021-02-20T03:19:00.000Z","","","","ar","Arabic"
"campgrounds-outdoor-recreation","Campamentos y recreación al aire libre","","campgrounds-outdoor-recreation","Pueden abrir con modificaciones.","Pueden abrir con modificaciones.","Pueden abrir con modificaciones.","Pueden abrir con modificaciones.","","2021-02-20T03:19:00.000Z","","","","es","Spanish"
"campgrounds-outdoor-recreation","الملاعب الخارجية في الهواء الطلق","","campgrounds-outdoor-recreation","يمكن الافتتاح مع إجراء تعديلات","يمكن الافتتاح مع إجراء تعديلات","يمكن الافتتاح مع إجراء تعديلات","يمكن الافتتاح مع إجراء تعديلات","","2021-02-20T03:19:00.000Z","","","","ar","Arabic"
"campgrounds-outdoor-recreation","Parques de patinaje","","campgrounds-outdoor-recreation","Pueden abrir con modificaciones.","Pueden abrir con modificaciones.","Pueden abrir con modificaciones.","Pueden abrir con modificaciones.","","2021-02-20T03:19:00.000Z","","","","es","Spanish"
"campgrounds-outdoor-recreation","Parques infantiles en exteriores","","campgrounds-outdoor-recreation","Pueden abrir con modificaciones.","Pueden abrir con modificaciones.","Pueden abrir con modificaciones.","Pueden abrir con modificaciones.","","2021-02-20T03:19:00.000Z","","","","es","Spanish"
"campgrounds-outdoor-recreation","캠핌장 및 야외 여가 활동장","","campgrounds-outdoor-recreation","변경 조치 이행 후 운영 개시 가능","변경 조치 이행 후 운영 개시 가능","변경 조치 이행 후 운영 개시 가능","변경 조치 이행 후 운영 개시 가능","","2021-02-20T03:19:00.000Z","","","","ko","Korean"
"campgrounds-outdoor-recreation","스케이트보드장","","campgrounds-outdoor-recreation","변경 조치 이행 후 운영 개시 가능","변경 조치 이행 후 운영 개시 가능","변경 조치 이행 후 운영 개시 가능","변경 조치 이행 후 운영 개시 가능","","2021-02-20T03:19:00.000Z","","","","ko","Korean"
"campgrounds-outdoor-recreation","실외 놀이터","","campgrounds-outdoor-recreation","변경 조치 이행 후 운영 개시 가능","변경 조치 이행 후 운영 개시 가능","변경 조치 이행 후 운영 개시 가능","변경 조치 이행 후 운영 개시 가능","","2021-02-20T03:19:00.000Z","","","","ko","Korean"
"campgrounds-outdoor-recreation","Mga campground at outdoor na libangan","","campgrounds-outdoor-recreation","Puwedeng magbukas nang may mga modipikasyon","Puwedeng magbukas nang may mga modipikasyon","Puwedeng magbukas nang may mga modipikasyon","Puwedeng magbukas nang may mga modipikasyon","","2021-02-20T03:19:00.000Z","","","","tl","Tagalog"
"campgrounds-outdoor-recreation","Mga outdoor na playground","","campgrounds-outdoor-recreation","Puwedeng magbukas nang may mga modipikasyon","Puwedeng magbukas nang may mga modipikasyon","Puwedeng magbukas nang may mga modipikasyon","Puwedeng magbukas nang may mga modipikasyon","","2021-02-20T03:19:00.000Z","","","","tl","Tagalog"
"campgrounds-outdoor-recreation","Mga Skatepark","","campgrounds-outdoor-recreation","Puwedeng magbukas nang may mga modipikasyon","Puwedeng magbukas nang may mga modipikasyon","Puwedeng magbukas nang may mga modipikasyon","Puwedeng magbukas nang may mga modipikasyon","","2021-02-20T03:19:00.000Z","","","","tl","Tagalog"
"campgrounds-outdoor-recreation","Khu cắm trại và khu giải trí ngoài trời","","campgrounds-outdoor-recreation","Có thể mở cửa với điều chỉnh sửa đổi","Có thể mở cửa với điều chỉnh sửa đổi","Có thể mở cửa với điều chỉnh sửa đổi","Có thể mở cửa với điều chỉnh sửa đổi","","2021-02-20T03:19:00.000Z","","","","vi","Vietnamese"
"campgrounds-outdoor-recreation","Sân chơi ngoài trời","","campgrounds-outdoor-recreation","Có thể mở cửa với điều chỉnh sửa đổi","Có thể mở cửa với điều chỉnh sửa đổi","Có thể mở cửa với điều chỉnh sửa đổi","Có thể mở cửa với điều chỉnh sửa đổi","","2021-02-20T03:19:00.000Z","","","","vi","Vietnamese"
"campgrounds-outdoor-recreation","户外游乐场","","campgrounds-outdoor-recreation","在有调整方案的情况下可以开放","在有调整方案的情况下可以开放","在有调整方案的情况下可以开放","在有调整方案的情况下可以开放","","2021-02-20T03:19:00.000Z","","","","zh-hans","Chinese Traditional"
"campgrounds-outdoor-recreation","滑板场","","campgrounds-outdoor-recreation","在有调整方案的情况下可以开放","在有调整方案的情况下可以开放","在有调整方案的情况下可以开放","在有调整方案的情况下可以开放","","2021-02-20T03:19:00.000Z","","","","zh-hans","Chinese Traditional"
"campgrounds-outdoor-recreation","野营地和户外娱乐场地","","campgrounds-outdoor-recreation","在有调整方案的情况下可以开放","在有调整方案的情况下可以开放","在有调整方案的情况下可以开放","在有调整方案的情况下可以开放","","2021-02-20T03:19:00.000Z","","","","zh-hans","Chinese Traditional"
"campgrounds-outdoor-recreation","Sân trượt ván","","campgrounds-outdoor-recreation","Có thể mở cửa với điều chỉnh sửa đổi","Có thể mở cửa với điều chỉnh sửa đổi","Có thể mở cửa với điều chỉnh sửa đổi","Có thể mở cửa với điều chỉnh sửa đổi","","2021-02-20T03:19:00.000Z","","","","vi","Vietnamese"
"campgrounds-outdoor-recreation","户外游乐场","","campgrounds-outdoor-recreation","在有调整方案的情况下可以开放","在有调整方案的情况下可以开放","在有调整方案的情况下可以开放","在有调整方案的情况下可以开放","","2021-02-20T03:19:00.000Z","","","","zh-hant","Chinese Simplified"
"campgrounds-outdoor-recreation","滑板场","","campgrounds-outdoor-recreation","在有调整方案的情况下可以开放","在有调整方案的情况下可以开放","在有调整方案的情况下可以开放","在有调整方案的情况下可以开放","","2021-02-20T03:19:00.000Z","","","","zh-hant","Chinese Simplified"
"campgrounds-outdoor-recreation","野营地和户外娱乐场地","","campgrounds-outdoor-recreation","在有调整方案的情况下可以开放","在有调整方案的情况下可以开放","在有调整方案的情况下可以开放","在有调整方案的情况下可以开放","","2021-02-20T03:19:00.000Z","","","","zh-hant","Chinese Simplified"
"cardrooms-racetracks","صالات لعب الورق","","cardrooms-racetracks","يمكن افتتاح الأماكن الداخلية مع إجراء تعديلات<br>- بحد أقصى 50% من طاقتها الاستيعابية","يمكن افتتاح الأماكن الخارجية فقط بإجراء بعض التعديلات","يمكن افتتاح الأماكن الداخلية مع إجراء تعديلات<br>– بحد أقصى 25% من طاقتها","يمكن افتتاح الأماكن الخارجية فقط بإجراء بعض التعديلات","","2021-02-20T03:19:00.000Z","","","","ar","Arabic"
"cardrooms-racetracks","مواقع المقامرة عن بُعد","","cardrooms-racetracks","يمكن افتتاح الأماكن الداخلية مع إجراء تعديلات<br>- بحد أقصى 50% من طاقتها الاستيعابية","يمكن افتتاح الأماكن الخارجية فقط بإجراء بعض التعديلات","يمكن افتتاح الأماكن الداخلية مع إجراء تعديلات<br>– بحد أقصى 25% من طاقتها","يمكن افتتاح الأماكن الخارجية فقط بإجراء بعض التعديلات","","2021-02-20T03:19:00.000Z","","","","ar","Arabic"
"cardrooms-racetracks","Salas de cartas","","cardrooms-racetracks","Pueden abrir en interiores con modificaciones<br>, máximo 50% de la capacidad.","Pueden abrir en exteriores solo con modificaciones.","Pueden abrir en interiores con modificaciones<br>, máximo 25% de la capacidad.","Pueden abrir en exteriores solo con modificaciones.","","2021-02-20T03:19:00.000Z","cardrooms-racetracks, outdoor-cardrooms","","","es","Spanish"
"cardrooms-racetracks","Sitios de apuestas por satélite","","cardrooms-racetracks","Pueden abrir en interiores con modificaciones<br>, máximo 50% de la capacidad.","Pueden abrir en exteriores solo con modificaciones.","Pueden abrir en interiores con modificaciones<br>, máximo 25% de la capacidad.","Pueden abrir en exteriores solo con modificaciones.","","2021-02-20T03:19:00.000Z","cardrooms-racetracks","","","es","Spanish"
