"activity_reference_key","activity_search_autocomplete","override_industry_guidance_label","activity_key","4 - WIDESPREAD","3 - SUBSTANTIAL","2 - MODERATE","1 - MINIMAL","RSHO","last_modified","primary_guidance","secondary_guidance"
"agriculture","Agriculture and livestock","","agriculture","","","","","","2021-03-02T00:55:00.000Z","agriculture","general-indoors, general-outdoors"
"amusement-theme-parks","Amusement parks and theme parks","","amusement-theme-parks","","","","","","2021-03-02T02:15:00.000Z","amusement-theme-parks","general-indoors, general-outdoors"
"appliance-repair-shops","Appliance repair shops","","appliance-repair-shops","Can open&nbsp;with modifications","Can open&nbsp;with modifications","Can open&nbsp;with modifications","Can open&nbsp;with modifications","Can open with modifications","2021-03-02T02:03:00.000Z","limited-services","general-indoors, general-outdoors"
"aquariums","Aquariums","","aquariums","Can open outdoors only with modifications","Can open indoors with modifications<br>– Indoor activities max 25% capacity","Can open indoors with modifications<br>– Indoor activities max 50% capacity","Can open indoors with modifications","Closed","2021-03-02T02:03:00.000Z","zoos-museums","general-indoors, general-outdoors"
"auto-dealerships","Auto dealerships","","auto-dealerships","","","","","","2021-03-02T00:55:00.000Z","auto-dealerships","general-indoors, general-outdoors"
"auto-repair-shops","Auto repair shops","","auto-repair-shops","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","2021-03-02T02:03:00.000Z","limited-services","general-indoors, general-outdoors"
"banks-credit-unions","Banks and credit unions","Banks and credit unions","banks-credit-unions","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","2021-03-02T02:03:00.000Z","critical-infrastructure","general-indoors, general-outdoors"
"bars","Bars, breweries, and distilleries","","bars","","","","","","2021-03-02T00:55:00.000Z","bars","general-indoors, general-outdoors"
"bars-no-meals-provided","Bars (where no meals provided)","","bars-no-meals-provided","Closed","Closed","Can open outdoors only with modifications","Can open indoors with modifications<br>– Max 50% capacity","Closed for on-site consumption.","2021-03-02T02:03:00.000Z","bars","general-indoors, general-outdoors"
"body-waxing-studios","Body waxing studios","Personal care services","body-waxing-studios","Can open indoors with modifications","Can open indoors&nbsp;with modifications","Can open indoors&nbsp;with modifications","Can open indoors&nbsp;with modifications","Closed","2021-03-02T02:03:00.000Z","expanded-personal-care-services","general-indoors, general-outdoors"
"bookstores","Bookstores","Retailers","bookstores","Can open with modifications<br>– Max 25% capacity","Can open with modifications<br>– Max 50% capacity","Can open with modifications","Can open with modifications","Can open with modifications<br>– Max 20% capacity<br>– No food or beverages sold for onsite consumption","2021-03-02T02:03:00.000Z","retail","general-indoors, general-outdoors"
"bowling-alleys","Bowling alleys","","bowling-alleys","Closed","Closed","Can open indoors for naturally distanced activities, with modifications<br>– Max 25% capacity","Can open indoors for activities with increased risk of proximity and mixing, with modifications<br>– Max 50% capacity","Closed","2021-03-02T02:03:00.000Z","family-entertainment","general-indoors, general-outdoors"
"breweries-no-meals-provided","Breweries (where no meals provided)","","breweries-no-meals-provided","Closed","Closed","Can open outdoors only with modifications","Can open indoors with modifications<br>– Max 50% capacity","Closed for on-site consumption. May continue with production, manufacturing, distribution, and retail sale for off-site consumption.","2021-03-02T02:03:00.000Z","bars","general-indoors, general-outdoors"
"campgrounds","Campgrounds","","campgrounds","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","Closed unless used for COVID-19 mitigation and containment measures, treatment measures, providing accommodation for essential workers or those displaced as a result of fire or other emergency, or providing housing solutions, including measures to protect homeless populations","2021-03-02T02:03:00.000Z","campgrounds-outdoor-recreation","general-indoors, general-outdoors"
"outdoor-recreation","Outdoor recreation, including campgrounds,playgrounds, and ski resorts","Outdoor recreation, including campgrounds, playgrounds, and ski resorts","campgrounds-outdoor-recreation","","","","","","2021-03-02T02:06:00.000Z","campgrounds-outdoor-recreation","general-indoors, general-outdoors"
"cardrooms","Cardrooms","","cardrooms","Can open outdoors only with modifications","Can open outdoors only with modifications","Can open indoors with modifications<br>– Max 25% capacity","Can open indoors with modifications<br>– Max 50% capacity","Closed","2021-03-02T02:03:00.000Z","cardrooms-racetracks, outdoor-cardrooms","general-indoors, general-outdoors"
"satellite-wagering-sites","Satellite wagering sites","","cardrooms-racetracks","Can open outdoors only with modifications","Can open outdoors only with modifications","Can open indoors with modifications<br>– Max 25% capacity","Can open indoors with modifications<br>– Max 50% capacity","Closed","2021-03-02T02:05:00.000Z","cardrooms-racetracks","general-indoors, general-outdoors"
"carwashes","Carwashes","","carwashes","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","Closed","2021-03-02T02:03:00.000Z","limited-services","general-indoors, general-outdoors"
"childcare","Childcare","","childcare","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","2021-03-02T02:03:00.000Z","childcare, cohorts","general-indoors, general-outdoors"
"churches","Churches","","churches","Can open indoors with modifications<br>– Indoor activities strongly discouraged<br>– Max 25% capacity","Can open indoors with modification<br>– Max 25% capacity","Can open indoors with modifications<br>– Max 50% capacity","Can open indoors with modifications<br>– Max 50% capacity","Can open outdoors only with modifications","2021-03-02T02:03:00.000Z","places-of-worship","general-indoors, general-outdoors"
"clothing-shoe-stores","Clothing and shoe stores","","clothing-shoe-stores","Can open with modifications<br>– Max 25% capacity","Can open with modifications<br>– Max 50% capacity","Can open with modifications","Can open with modifications","Can open with modifications<br>– Max 20% capacity<br>– No food or beverages sold for onsite consumption","2021-03-02T02:03:00.000Z","retail","general-indoors, general-outdoors"
"cohorts","Cohorts for children and youth in supervised settings","","cohorts","","","","","","2021-03-02T00:55:00.000Z","cohorts","general-indoors, general-outdoors"
"communications","Communications infrastructure","","communications","","","","","","2021-03-02T00:55:00.000Z","communications","general-indoors, general-outdoors"
"concert-venues","Concert venues","","concert-venues","Closed","Closed","Closed","Closed","Closed","2021-03-02T02:03:00.000Z","live-performances","general-indoors, general-outdoors"
"construction","Construction","","construction","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","2021-03-02T02:03:00.000Z","construction","general-indoors, general-outdoors"
"convenience-stores","Convenience stores","","convenience-stores","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications<br>– Max 20% capacity<br>– No food or beverages sold for onsite consumption","2021-03-02T02:03:00.000Z","retail","general-indoors, general-outdoors"
"convention-centers","Convention centers","Convention centers and professional hosted events","convention-centers","Closed","Closed","Closed","Closed","Closed","2021-03-02T02:03:00.000Z","convention-centers","general-indoors, general-outdoors"
"cultural-ceremonies","Cultural ceremonies","","cultural-ceremonies","Can open outdoors only with modifications","Can open indoors with modifications<br>– Max 25% capacity or 100 people, whichever is fewer","Can open indoors with modifications<br>– Max 50% capacity or 200 people, whichever is fewer","Can open indoors with modifications<br>– Max 50% capacity","Can open outdoors only with modifications","2021-03-02T02:03:00.000Z","places-of-worship","general-indoors, general-outdoors"
"dance-studios","Dance studios","","dance-studios","Can open outdoors only with modifications","Can open indoors with modifications<br>– Max 10% capacity","Can open indoors with modifications<br>– Max 25% capacity<br>– +Indoor pools","Can open indoors with modifications<br>– +Saunas<br>– +Spas<br>– +Steam rooms<br>– Max 50% capacity","Can open outdoors only with modifications","2021-03-02T02:03:00.000Z","fitness","general-indoors, general-outdoors"
"day-camps","Day camps","","day-camps","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","2021-03-02T02:03:00.000Z","day-camps, cohorts","general-indoors, general-outdoors"
"delivery-services","Delivery services","","delivery-services","","","","","","2021-03-02T00:55:00.000Z","delivery-services","general-indoors, general-outdoors"
"distilleries-no-meals-provided","Distilleries (where no meals provided)","","distilleries-no-meals-provided","Closed","Closed","Can open outdoors only with modifications","Can open indoors with modifications<br>– Max 50% capacity","Closed for on-site consumption. May continue with production, manufacturing, distribution, and retail sale for off-site consumption.","2021-03-02T02:03:00.000Z","bars","general-indoors, general-outdoors"
"doctors-dentists","Doctors and dentists","Critical infrastructure","doctors-dentists","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","2021-03-02T02:03:00.000Z","critical-infrastructure","general-indoors, general-outdoors"
"dog-walkers","Dog walkers","","dog-walkers","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","Closed","2021-03-02T02:03:00.000Z","limited-services","general-indoors, general-outdoors"
"door-to-door-sales","Door-to-door sales and services","","door-to-door-sales","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","Closed","2021-03-02T02:03:00.000Z","limited-services","general-indoors, general-outdoors"
