"industry_category_key","date_last_modified","language","language_code","optional_message","safer_economy_label"
"agriculture","2021-01-15T19:44:00.000Z","English","en","","agriculture and livestock"
"amusement-theme-parks","2021-01-15T19:44:00.000Z","English","en","","amusement parks and theme parks"
"auto-dealerships","2021-01-15T19:39:00.000Z","English","en","","auto dealerships"
"bars","2021-01-15T23:54:00.000Z","English","en","","bars, breweries, and distilleries"
"campgrounds-outdoor-recreation","2021-01-15T20:52:00.000Z","English","en","","campgrounds"
"cardrooms-racetracks","2021-01-15T19:39:00.000Z","English","en","","cardrooms and racetracks"
"childcare","2021-01-15T19:39:00.000Z","English","en","","childcare"
"cohorts","2021-01-15T19:39:00.000Z","English","en","","cohorts for children and youth in supervised settings"
"communications","2021-01-15T19:39:00.000Z","English","en","","communications infrastructure"
"construction","2021-01-15T19:39:00.000Z","English","en","","Construction"
"day-camps","2021-01-15T19:39:00.000Z","English","en","","Day camps"
"delivery-services","2021-01-15T19:39:00.000Z","English","en","","Delivery services"
"energy","2021-01-15T19:39:00.000Z","English","en","","Energy and utilities"
"expanded-personal-care-services","2021-01-15T19:39:00.000Z","English","en","","Expanded Personal Care Services"
"family-entertainment","2021-01-15T19:39:00.000Z","English","en","","Family entertainment centers"
"food-packing","2021-01-15T19:39:00.000Z","English","en","","Food packing"
"fitness","2021-01-15T20:52:00.000Z","English","en","","Gyms and fitness centers"
"hair-salons","2021-01-15T19:39:00.000Z","English","en","","Hair salons and barbershops"
"higher-education","2021-01-15T19:39:00.000Z","English","en","","Higher education"
"hotels-lodging-rentals","2021-01-15T20:52:00.000Z","English","en","","Hotels, lodging, and short-term lodging rentals"
"life-sciences","2021-01-15T19:39:00.000Z","English","en","","Life sciences"
"limited-services","2021-01-15T19:39:00.000Z","English","en","","Limited services"
"logistics-warehousing","2021-01-15T19:39:00.000Z","English","en","","Logistics and warehousing facilities"
"manufacturing","2021-01-15T19:39:00.000Z","English","en","","Manufacturing"
"mining-logging","2021-01-15T19:39:00.000Z","English","en","","Mining and logging"
"movie-theaters","2021-01-15T19:39:00.000Z","English","en","","Movie theaters and family entertainment centers"
"zoos-museums","2021-01-15T19:39:00.000Z","English","en","","Museums, zoos, and aquariums"
"music-tv-film","2021-01-15T19:39:00.000Z","English","en","","Music, film, and TV production"
"office-workspaces","2021-01-15T19:39:00.000Z","English","en","","Office workspaces"
"outdoor-cardrooms","2021-01-15T19:39:00.000Z","English","en","","Outdoor cardrooms"
"outdoor-live-professional-sports","2021-01-15T19:39:00.000Z","English","en","","Outdoor live professional sports"
"places-of-worship","2021-01-15T19:39:00.000Z","English","en","","Places of worship and cultural ceremonies"
"ports","2021-01-15T19:39:00.000Z","English","en","","Ports"
"professional-sports","2021-01-15T19:39:00.000Z","English","en","","Professional sports"
"transit-rail","2021-01-15T19:39:00.000Z","English","en","","Public transit and intercity passenger rail"
"real-estate","2021-01-15T19:39:00.000Z","English","en","","Real estate transactions"
"restaurants-bars-wineries","2021-01-15T19:44:00.000Z","English","en","","Restaurants, wineries, and bars"
"retail","2021-01-15T19:39:00.000Z","English","en","","Retail"
"libraries","2021-01-15T19:39:00.000Z","English","en","","Retail"
"schools","2021-01-15T19:44:00.000Z","English","en","","Schools"
"shopping-centers","2021-01-15T19:39:00.000Z","English","en","","Shopping centers"
"wineries","2021-01-15T19:39:00.000Z","English","en","","Wineries and tasting rooms"
"youth-sports","2021-01-16T00:55:00.000Z","English","en","","Youth and adult recreational sports"
"swimming-pools","2021-02-20T21:14:00.000Z","","","Swimming pools must follow guidance for gyms and fitness centers, hotels 
and lodging, and outdoor recreation.
","Swimming Pools"
