"industry_category_key","industry_category_label","date_last_modified","language"
"agriculture","Agriculture and livestock","2021-01-15T09:42:00.000Z","English"
"amusement-theme-parks","Amusement parks and theme parks","2021-01-15T09:42:00.000Z","English"
"auto-dealerships","Auto dealerships","2021-01-15T09:42:00.000Z","English"
"bars","Bars, breweries, and distilleries","2021-01-15T09:42:00.000Z","English"
"campgrounds-outdoor-recreation","Campgrounds","2021-01-15T09:42:00.000Z","English"
"cardrooms-racetracks","Cardrooms and racetracks","2021-01-15T09:42:00.000Z","English"
"childcare","Childcare","2021-01-15T09:42:00.000Z","English"
"cohorts","Cohorts for children and youth in supervised settings","2021-01-15T09:42:00.000Z","English"
"communications","Communications infrastructure","2021-01-15T09:42:00.000Z","English"
"construction","Construction","2021-01-15T09:42:00.000Z","English"
"day-camps","Day camps","2021-01-15T09:42:00.000Z","English"
"delivery-services","Delivery services","2021-01-15T09:42:00.000Z","English"
"energy","Energy and utilities","2021-01-15T09:42:00.000Z","English"
"expanded-personal-care-services","Expanded Personal Care Services","2021-01-15T09:42:00.000Z","English"
"family-entertainment","Family entertainment centers","2021-01-15T09:42:00.000Z","English"
"fitness","Gyms and fitness centers","2021-01-15T19:50:00.000Z","English"
"food-packing","Food packing","2021-01-15T09:42:00.000Z","English"
"hair-salons","Hair salons and barbershops","2021-01-15T09:42:00.000Z","English"
"higher-education","Higher education","2021-01-15T09:42:00.000Z","English"
"hotels-lodging-rentals","Hotels, lodging, and short-term lodging rentals","2021-01-15T09:42:00.000Z","English"
"libraries","Retail","2021-01-15T09:42:00.000Z","English"
"life-sciences","Life sciences","2021-01-15T09:42:00.000Z","English"
"limited-services","Limited services","2021-01-15T09:42:00.000Z","English"
"logistics-warehousing","Logistics and warehousing facilities","2021-01-15T09:42:00.000Z","English"
"manufacturing","Manufacturing","2021-01-15T09:42:00.000Z","English"
"mining-logging","Mining and logging","2021-01-15T09:42:00.000Z","English"
"movie-theaters","Movie theaters and family entertainment centers","2021-01-15T09:42:00.000Z","English"
"music-tv-film","Music, film, and TV production","2021-01-15T09:42:00.000Z","English"
"office-workspaces","Office workspaces","2021-01-15T09:42:00.000Z","English"
"outdoor-cardrooms","Outdoor cardrooms","2021-01-15T09:42:00.000Z","English"
"outdoor-live-professional-sports","Outdoor live professional sports","2021-01-15T09:42:00.000Z","English"
"places-of-worship","Places of worship and cultural ceremonies","2021-01-15T09:42:00.000Z","English"
"ports","Ports","2021-01-15T09:42:00.000Z","English"
"professional-sports","Professional sports","2021-01-15T09:42:00.000Z","English"
"real-estate","Real estate transactions","2021-01-15T09:42:00.000Z","English"
"restaurants-bars-wineries","Restaurants, wineries, and bars","2021-01-15T09:42:00.000Z","English"
"retail","Retail","2021-01-15T09:42:00.000Z","English"
"schools","Schools","2021-01-15T09:42:00.000Z","English"
"shopping-centers","Shopping centers","2021-01-15T09:42:00.000Z","English"
"transit-rail","Public transit and intercity passenger rail","2021-01-15T09:42:00.000Z","English"
"wineries","Wineries and tasting rooms","2021-01-15T09:42:00.000Z","English"
"youth-sports","Youth and adult recreational sports","2021-01-15T09:42:00.000Z","English"
"zoos-museums","Museums, zoos, and aquariums","2021-01-15T09:42:00.000Z","English"
"swimming-pools","Swimming pools","2021-01-15T20:56:00.000Z","English"
